2017-09-27 11:12:06,869 | __init__:171 | DEBUG | CoUninitialize()
2017-09-27 11:12:09,013 | edfimage:87 | DEBUG | No support for float128 in your code
2017-09-27 11:12:15,417 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-27 11:12:15,418 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-27 11:12:15,418 | camera:312 | INFO | Connection to camera simulate released
2017-09-27 11:16:57,538 | camera:246 | INFO | Camera simulate initialized
2017-09-27 11:16:57,571 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:16:57,585 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-27 11:16:57,585 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-27 11:16:57,585 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-27 11:16:57,586 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:16:57,586 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-27 11:16:57,625 | __init__:171 | DEBUG | CoUninitialize()
2017-09-27 11:17:00,467 | edfimage:87 | DEBUG | No support for float128 in your code
2017-09-27 11:17:09,138 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-27 11:17:09,138 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-27 11:17:09,138 | camera:312 | INFO | Connection to camera simulate released
2017-09-27 11:17:46,025 | camera:246 | INFO | Camera simulate initialized
2017-09-27 11:17:46,056 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:17:46,072 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'c:\python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-27 11:17:46,072 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'c:\python27\lib\site-packages\comtypes\gen'
2017-09-27 11:17:46,072 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-27 11:17:46,072 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:17:46,072 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-27 11:17:46,114 | __init__:171 | DEBUG | CoUninitialize()
2017-09-27 11:20:21,293 | camera:246 | INFO | Camera simulate initialized
2017-09-27 11:20:21,328 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:20:21,342 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-27 11:20:21,342 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-27 11:20:21,342 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-27 11:20:21,342 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:20:21,342 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-27 11:20:21,381 | __init__:171 | DEBUG | CoUninitialize()
2017-09-27 11:20:24,137 | edfimage:87 | DEBUG | No support for float128 in your code
2017-09-27 11:20:24,194 | openimage:151 | DEBUG | Attempting to open C:\Users\bwang\workspace\cRED_Collection_Structured\flatfield_tpx_2017-06-21.tiff
2017-09-27 11:20:24,194 | openimage:153 | DEBUG | Attempting to read frame None from C:\Users\bwang\workspace\cRED_Collection_Structured\flatfield_tpx_2017-06-21.tiff with reader TifImage
2017-09-27 11:20:24,197 | cRED_experiment:61 | INFO | Data recording started at: 2017-09-27 11:20:24
2017-09-27 11:20:29,134 | __init__:183 | DEBUG | Calling CoUnititialize()
2017-09-27 11:20:29,134 | __init__:193 | DEBUG | CoUnititialize() done.
2017-09-27 11:20:29,134 | camera:312 | INFO | Connection to camera simulate released
2017-09-27 11:23:21,891 | camera:246 | INFO | Camera simulate initialized
2017-09-27 11:23:21,926 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:23:21,938 | _code_cache:82 | INFO | Imported existing <module 'comtypes.gen' from 'C:\Python27\lib\site-packages\comtypes\gen\__init__.pyc'>
2017-09-27 11:23:21,938 | _code_cache:59 | INFO | Using writeable comtypes cache directory: 'C:\Python27\lib\site-packages\comtypes\gen'
2017-09-27 11:23:21,940 | __init__:155 | DEBUG | CoInitializeEx(None, 0)
2017-09-27 11:23:21,940 | __init__:155 | DEBUG | CoInitializeEx(None, 2)
2017-09-27 11:23:21,940 | _generate:100 | DEBUG | GetModule((('{CE70FCE4-26D9-4BAB-9626-EC88DB7F6A0A}', 3, 0),))
2017-09-27 11:23:21,976 | __init__:171 | DEBUG | CoUninitialize()
2017-09-27 11:23:25,467 | edfimage:87 | DEBUG | No support for float128 in your code
2017-09-27 11:23:25,525 | openimage:151 | DEBUG | Attempting to open C:\Users\bwang\workspace\cRED_Collection_Structured\flatfield_tpx_2017-06-21.tiff
2017-09-27 11:23:25,525 | openimage:153 | DEBUG | Attempting to read frame None from C:\Users\bwang\workspace\cRED_Collection_Structured\flatfield_tpx_2017-06-21.tiff with reader TifImage
2017-09-27 11:23:25,529 | cRED_experiment:70 | INFO | Data recording started at: 2017-09-27 11:23:25
2017-09-27 11:23:25,529 | cRED_experiment:71 | INFO | Data saving path: C:/experiment_1
2017-09-27 11:23:25,529 | cRED_experiment:72 | INFO | Data collection exposure time: 0.5 s
2017-09-27 11:23:25,529 | cRED_experiment:74 | INFO | Data collection camera length: 250 cm
